GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2012,2012,,EUR,Europe,,BGR,Bulgaria,,SA_SPIRITS,Spirits,,562.43,562.43,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,CZE,Czechia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,FIN,Finland,,SA_WINE,Wine,,339,339,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,FRA,France,,SA_WINE,Wine,,3.75,3.75,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,LVA,Latvia,,SA_WINE,Wine,,64.64,64.64,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,NLD,Netherlands,,SA_BEER,Beer,,30.38,30.38,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,ROU,Romania,,SA_SPIRITS,Spirits,,1074.55,1074.55,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,SVK,Slovakia,,SA_BEER,Beer,,3.59,3.59,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CHE,Switzerland,,SA_SPIRITS,Spirits,,2383,2383,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,TUR,Türkiye,,SA_BEER,Beer,,1541,1541,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,AUT,Austria,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,AUT,Austria,,SA_BEER,Beer,,24,24,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,BEL,Belgium,,SA_WINE,Wine,,47.1,47.1,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,BEL,Belgium,,SA_BEER,Beer,,20.52,20.52,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,BGR,Bulgaria,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,BGR,Bulgaria,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CYP,Cyprus,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CZE,Czechia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,CZE,Czechia,,SA_BEER,Beer,,15.44,15.44,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,EST,Estonia,,SA_BEER,Beer,,24.6,24.6,,,,,
